mod_id,mod_description,mod_type,regulations,loi,aircraft_type,approval_date
MOD-2023-033,Enhancement of system in tail section for operational efficiency with enhanced performance characteristics,Environmental,"CS 25.1419,CS 25.1420,CS 25.832,CS 25.561",High,ATR42,2023-12-16
MOD-2023-049,Upgrade of compressor blade system in engine pylon for passenger comfort,Propulsion,"CS 25.933,CS 25.934,CS 25.903,AMC 20-149",High,ERJ,2023-02-26
MOD-2022-044,Replacement of existing system in tail section with improved version for noise reduction with enhanced performance characteristics,Environmental,"CS 25.832,CS 25.1420,CS 25.831",High,A340,2022-06-06
MOD-2024-031,Integration of display unit in nose section for navigation improvement meeting new certification requirements,Avionics,"CS 25.1431,AMC 20-115,CS 25.1309",Medium,B777,2024-05-25
MOD-2021-016,Enhancement of oxygen system in cargo compartment for navigation improvement,Systems,"CS 25.965,CS 25.831,CS 25.1309",Medium,B787,2021-09-23
MOD-2023-016,Replacement of existing autopilot in belly with improved version for regulatory compliance with enhanced performance characteristics,Avionics,"CS 25.1309,CS 25.1431,AMC 20-115",Low,A320,2023-02-13
MOD-2024-023,Integration of system in trailing edge for navigation improvement with reduced environmental impact,Environmental,"CS 25.1420,AMC 25-831,CS 25.832,CS 25.1419",High,B777,2024-10-17
MOD-2024-CT-010,Integrated evacuation system upgrade affecting both cabin and safety systems,Cabin/Safety,"CS 25.562,CS 25.853,CS 25.1457,CS 25.773",Medium,A321,2024-01-01
MOD-2022-026,Relocation of pressure regulator in forward fuselage for fuel efficiency,Systems,"CS 25.965,CS 25.729",Medium,ATR42,2022-12-05
MOD-2023-043,Replacement of existing tail cone in dorsal fuselage with improved version for system reliability,Structure,"CS 25.143,CS 25.561,AMC 20-22",Medium,B747,2023-10-06
MOD-2023-001,Upgrade of system system in engine pylon for regulatory compliance,Electrical,"CS 25.1309,CS 25.1431",Low,A320,2023-05-31
MOD-2021-031,Modification of smoke detector in tail section for fuel efficiency featuring redundant safety systems,Safety,"CS 25.1457,CS 25.807,AMC 25-17,CS 25.809",High,B777X,2021-06-25
MOD-2024-041,Enhancement of oxygen mask in forward fuselage for passenger comfort,Safety,"AMC 25-17,CS 25.809,CS 25.807,CS 25.1457,CS 25.561",Medium,B777,2024-08-18
MOD-2021-010,Enhancement of wing tip in tail section for noise reduction meeting new certification requirements,Structure,"CS 25.629,CS 25.561,CS 25.1309",High,ERJ,2021-06-03
MOD-2022-018,Addition of floor panel in wing root for enhanced safety,Cabin,"CS 25.857,CS 25.773,CS 25.785,CS 25.853",Low,B777,2022-12-02
MOD-2024-CT-019,Integrated emergency system modification affecting both systems and safety systems,Systems/Safety,"CS 25.965,CS 25.1441,CS 25.562,AMC 25-17,CS 25.561",High,B737MAX,2024-01-01
MOD-2024-026,Removal of tail cone in belly for maintenance optimization incorporating latest technology standards,Structure,"CS 25.143,CS 25.629,CS 25.321",Low,A300F,2024-10-10
MOD-2021-019,Removal of engine cowling in belly for cost reduction,Propulsion,"CS 25.903,CS 25.934,CS 25.561",High,ATR72,2021-10-17
MOD-2024-048,Enhancement of overhead bin in aft fuselage for system reliability,Cabin,"CS 25.853,CS 25.857,CS 25.812,AMC 20-22",High,CRJ,2024-11-29
MOD-2022-017,Retrofit of system in landing gear bay for communication enhancement affecting structural integrity,Electrical,"AMC 25-12,CS 25.1309",Low,B747,2022-01-20
MOD-2024-040,Upgrade of system system in aft fuselage for improved performance,Electrical,"AMC 25-12,CS 25.1431,CS 25.1383",Medium,A320,2024-01-23
MOD-2022-047,Retrofit of emergency exit sign in cockpit for passenger comfort affecting structural integrity,Safety,"AMC 25-17,CS 25.562,CS 25.1309",High,B787,2022-04-30
MOD-2024-CT-011,Integrated integrated flight system affecting both avionics and systems systems,Avionics/Systems,"AMC 20-151,CS 25.1309,CS 25.831,CS 25.1441",High,A380,2024-01-01
MOD-2021-026,Modification of weather radar in aft fuselage for passenger comfort,Avionics,"AMC 20-130,AMC 20-115,AMC 20-151,AMC 20-22",Medium,B737,2021-08-21
MOD-2023-028,Relocation of system in wing tip for operational efficiency with reduced environmental impact,Electrical,"CS 25.1383,AMC 25-12,CS 25.1309",Low,ATR72,2023-04-28
MOD-2024-CT-002,Integrated antenna installation affecting structure affecting both avionics and structure systems,Avionics/Structure,"CS 25.321,CS 25.629,AMC 20-151,CS 25.1431",Low,ERJ,2024-01-01
